racer,athlete_name,athlete_url,distance,year,best_time,best_time_seconds,best_date,best_venue
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2016,47:55,2875.0,04/12/2016,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2017,44:54,2694.0,03/12/2017,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2018,45:29,2729.0,23/09/2018,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2019,40:22,2422.0,07/04/2019,Dronfield Woodhouse
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2021,44:04,2644.0,12/12/2021,Bolsover
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2022,42:39,2559.0,04/12/2022,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2023,42:37,2557.0,24/09/2023,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2024,41:55,2515.0,01/12/2024,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2025,41:12,2472.0,09/02/2025,Chesterfield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_10k,2026,44:33,2673.0,01/02/2026,Dewsbury
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_5k,2023,20:02,1202.0,07/06/2023,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_5k,2024,20:03,1203.0,08/05/2024,Sheffield
Nick Hails,Nick Hails,https://www.powerof10.uk/Home/Athlete/43ffb390-7f6d-40f7-99fb-7c400e1375f0,p10_5k,2025,20:19,1219.0,07/05/2025,Sheffield
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2021,39:41,2381.0,28/11/2021,Doncaster
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2022,39:05,2345.0,27/11/2022,Doncaster
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2023,37:26,2246.0,06/08/2023,York
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2024,36:39,2199.0,29/09/2024,Sheffield
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2025,37:04,2224.0,09/02/2025,Chesterfield
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_10k,2026,39:07,2347.0,19/04/2026,Dronfield Woodhouse
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_5k,2022,19:57,1197.0,04/06/2022,Chesterfield
Oli Constable,Oli Constable,https://www.powerof10.uk/Home/Athlete/6e020d38-490f-4aec-81f2-4fff7327f109,p10_5k,2023,18:04,1084.0,07/10/2023,Chesterfield
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_10k,2016,48:30,2910.0,17/04/2016,Sheffield
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_10k,2018,51:04,3064.0,13/05/2018,Holymoorside
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_10k,2024,54:51,3291.0,28/04/2024,Dronfield Woodhouse
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_10k,2025,58:14,3494.0,19/04/2025,Ashbourne
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_10k,2026,1:06:24,3984.0,19/04/2026,Dronfield Woodhouse
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_5k,2023,25:51,1551.0,05/07/2023,Sheffield
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_5k,2024,26:06,1566.0,05/06/2024,Sheffield
Pat Goodall,Pat Goodall,https://www.powerof10.uk/Home/Athlete/2141ef73-17bb-4e6f-ae65-d5b3215aad6b,p10_5k,2025,30:33,1833.0,09/08/2025,Knutsford
